date,fixed_total,bnh_total,eq_total
2021-03-31,50000.0,50000.0,50000.0
2021-04-01,50871.67,50871.67,51130.0
2021-04-05,52176.69,52177.77,52361.57
2021-04-06,52113.8,52112.92,52188.15
2021-04-07,52677.39,52675.11,52780.49
2021-04-08,53537.71,53533.82,53357.92
2021-04-09,54356.53,54349.83,53919.57
2021-04-12,53998.86,53995.97,54261.59
2021-04-13,54929.34,54922.44,55063.0
2021-04-14,54128.66,54123.74,54345.7
2021-04-15,55049.81,55043.86,55679.87
2021-04-16,55109.64,55105.75,55559.2
2021-04-19,55040.35,55032.85,55099.71
2021-04-20,54632.22,54627.89,54666.18
2021-04-21,54956.36,54953.7,55033.49
2021-04-22,54275.86,54272.84,54157.77
2021-04-23,55185.75,55181.97,55174.97
2021-04-26,55310.46,55306.26,55454.51
2021-04-27,55286.29,55283.24,55279.05
2021-04-28,54341.08,54331.75,55146.75
2021-04-29,54105.24,54093.9,55318.17
2021-04-30,53652.88,53645.49,54642.64
2021-05-03,53842.63,53832.59,54560.25
2021-05-04,52445.59,52441.15,53399.11
2021-05-05,52358.76,52352.35,53485.71
2021-05-06,53040.05,53033.67,53999.81
2021-05-07,53469.51,53464.61,54536.52
2021-05-10,52219.33,52215.89,53230.38
2021-05-11,51924.91,51922.45,52944.06
2021-05-12,50515.64,50512.07,51409.05
2021-05-13,51394.33,51390.42,51952.99
2021-05-14,52445.43,52441.76,53204.54
2021-05-17,51889.28,51884.92,52948.1
2021-05-18,51374.72,51371.12,52411.82
2021-05-19,51404.7,51402.09,52478.2
2021-05-20,52300.89,52296.33,53528.9
2021-05-21,51773.64,51771.67,53532.42
2021-05-24,52709.73,52710.28,54803.67
2021-05-25,52767.2,52769.19,54839.42
2021-05-26,52732.63,52734.48,54970.18
2021-05-27,52178.08,52180.92,54510.01
2021-05-28,52078.22,52082.88,55028.19
2021-06-01,51770.02,51772.92,55027.81
2021-06-02,51921.07,51922.2,55437.72
2021-06-03,51438.94,51441.59,55238.01
2021-06-04,52460.14,52463.28,56422.17
2021-06-07,52779.91,52786.3,56613.89
2021-06-08,52823.47,52826.72,56492.24
2021-06-09,53011.55,53015.08,56526.76
2021-06-10,53184.23,53193.89,56829.58
2021-06-11,53509.48,53517.19,57252.58
2021-06-14,54368.23,54371.44,57853.97
2021-06-15,54033.28,54036.61,57428.33
2021-06-16,54035.84,54037.03,57322.26
2021-06-17,54745.85,54747.35,58331.69
2021-06-18,54315.7,54318.45,57844.34
2021-06-21,55033.49,55035.78,58288.14
2021-06-22,55684.46,55686.29,58999.86
2021-06-23,55601.21,55603.38,59061.81
